publication,volcano,eruption,data_doi,chemistry,bulk_sio2,bulk_na2o_k2o,glass_sio2,glass_na2o_k2o,chemistry_doi,rock_experiment_type,subaerial_submarine,eff_exp,sample_no,bulk_porosity,connected_porosity,connectivity,permeability_k1,permeability_k2,vesicle_number_density,s_polydispersivity,total_crystallinity,phenocrystallinity,microcrystallinity,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,14,63.87,61.19,0.958,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,15,67.49,65.08,0.964,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,16,66.36,64.06,0.965,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,17,70.90,68.74,0.970,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,18,71.21,68.92,0.968,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,19,67.69,65.74,0.971,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,20,67.45,65.36,0.969,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,21,65.14,62.91,0.966,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,22,64.06,61.66,0.963,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,23,66.58,64.51,0.969,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,24,70.73,68.66,0.971,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,25,64.64,62.22,0.963,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,26,71.39,69.37,0.972,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,27,66.97,64.83,0.968,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,28,69.41,67.45,0.972,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,29,65.64,63.63,0.969,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,30,65.49,63.31,0.967,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,31,71.38,69.63,0.975,,,,,,,,
